top_words
"['mean', 'did', 'refund', 'request', 'number', 'invoic', 'reason', 'subscript', 'pleas', 'thi', 'cancel', 'thank', 'sign', 'renew', 'wa', 'subscrib', 'want', 'canva', 'pro', 'hi', 'hello', 'charg', 'use', 'realiz', 'thx', 'issu', 'just', 'continu', 'afford', 'trial']"
"['unawar', 'wa', 'refund', 'invoic', 'request', 'reason', 'number', 'thi', 'use', 'charg', 'subscript', 'pleas', 'automat', 'renew', 'canva', 'account', 'like', 'sign', 'servic', 'cancel', 'thank', 'pro', 'want', 'free', 'onli', 'payment', 'recent', 'hello', 'month', 'onc']"
"['14', 'day', 'free', 'trial', 'problem', 'wa', 'refund', 'describ', 'charg', 'want', 'subscrib', 'lawsuit', 'kind', 'sign', '34', 'said', 'pro', 'money', 'issu', 'file', '90', 'alreadi', 'away', 'canva', 'cancel', 'need', 'account', 'whi', 'request', 'problema']"
"['switch', 'free', 'canva', 'cancel', 'like', 'want', 'reason', 'expens', 'money', 'version', 'high', 'price', 'creat', 'continu', 'pro', 'pay', 'cost', 'trial', 'use', 'moment', 'subscript', 'compani', 'wa', 'satisfi', 'ca', 'becaus', 'student', 'servic', 'charg', 'make']"
"['ago', 'month', 'refund', 'cancel', 'invoic', 'number', 'request', 'reason', 'charg', 'thi', 'subscript', 'pleas', 'phone', 'like', 'whi', 'day', 'sever', 'wa', 'use', 'account', 'sure', 'thank', 'servic', 'understand', 'know', 've', 'canva', 'sinc', 'time', 'money']"
"['ca', 'problem', 'pro', 'describ', 'type', 'canva', 'pay', 'cancel', 'kind', 'sign', 'subscript', 'use', 'tri', 'free', 'trial', 'buy', 'version', 'wa', 'want', 'charg', 'alreadi', 'subscrib', 'email', 'issu', 'did', 'time', 'money', 'came', 'help', 'know']"
"['abl', 'problem', 'issu', 'describ', 'kind', 'use', 'subscript', 'canva', 'pro', 'cancel', 'wa', 'pay', 'thi', 'charg', 'month', 'refund', 'pleas', 'hi', 'help', 'ha', 'thank', 'tri', 'did', 'servic', 'account', 'solv', 'time', 'afford', 'renew', 'money']"
"['product', 'use', 'refund', 'thi', 'number', 'invoic', 'request', 'reason', 'thank', 'sign', 'pleas', 'cancel', 'subscript', 'wa', 'did', 'charg', 'need', 'possibl', 'like', 'taken', 'time', 'renew', 'just', 'want', 'sinc', 'today', 'kind', 'trial', 'thought', 'issu']"
"['upgrad', 'pro', 'problem', 'kind', 'issu', 'canva', 'describ', 'version', 'free', 'like', 'tri', 'creat', 'use', 'account', 'charg', 'cancel', 'pleas', 'need', 'did', 'want', 'thi', 'wa', 'help', 'paid', 'let', 'membership', 'thank', 'trial', 'error', 'access']"
"['didnt', 'refund', 'request', 'invoic', 'number', 'reason', 'want', 'pleas', 'cancel', 'renew', 'charg', 'canva', 'wa', 'trial', 'use', 'subscript', 'thi', 'free', 'dont', 'issu', 'pro', 'tri', 'know', 'author', 'kind', 'havent', 'like', 'continu', 'describ', 'problem']"
"['remov', 'card', 'charg', 'problem', 'subscript', 'credit', 'describ', 'cancel', 'issu', 'kind', 'refund', 'pleas', 'canva', 'thi', 'wa', 'like', 'free', 'trial', 'account', 'number', 'app', 'request', 'use', 'servic', 'day', 'month', 'invoic', '30', 'alreadi', 'ad']"
"['factura', 'nro', 'refund', 'request', 'reason', 'number', 'want', 'thi', 'nr', 'use', 'suscript', 'automat', 'subscript', 'becaus', 'did', 'pro', 'trial', 'need', 'thank', 'renew', 'charg', 'like', 'wa', 'dont', 'hello', 'month', 'servic', 'pleas', 'forgot', 'afford']"
"['url', 'world', 'accur', 'spread', 'share', 'resourc', 'commun', 'support', 'messag', 'design', '19', 'covid', 'inform', 'empow', 'help', 'canva', 'email', 'account', 'charg', 'thi', 'thank', 'subscript', 'wa', 'money', 'sent', 'hello', '12', 'hi', 'date', 'view']"
